name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug
Josh Downs,WR,Colts,UFA,55.4,26.0,1380114.0,1014876.0,IND,WR,josh-downs
Mecole Hardman,WR,Bills,UFA,0.4,29.0,1375000.0,0.0,BUF,WR,mecole-hardman
Tyjae Spears,RB,Titans,UFA,35.4,26.0,1372651.0,993164.0,TEN,RB,tyjae-spears
YaYa Diaby,EDGE,Buccaneers,UFA,75.0,28.0,1366353.0,974844.0,TB,EDGE,yaya-diaby
Mohamoud Diabate,LB,Titans,UFA,28.2,26.0,1363000.0,350000.0,TEN,LB,mohamoud-diabate
Riley Moss,CB,Broncos,UFA,96.9,27.0,1361873.0,961812.0,DEN,CB,riley-moss
Devon Achane,RB,Dolphins,Void,70.9,26.0,1359363.0,954508.0,MIA,RB,devon-achane
Daiyan Henley,LB,Chargers,UFA,91.4,28.0,1355107.0,942128.0,LAC,LB,daiyan-henley
Trenton Simpson,LB,Ravens,UFA,35.9,26.0,1351126.0,930548.0,BAL,LB,trenton-simpson
Mike Caliendo,LG,Chiefs,UFA,37.9,30.0,1350000.0,650000.0,KC,OL,mike-caliendo
Trevor Nowaske,LB,Lions,UFA,6.7,29.0,1350000.0,550000.0,DET,LB,trevor-nowaske
Tanner Hudson,TE,Bengals,UFA,13.3,33.0,1350000.0,50000.0,CIN,TE,tanner-hudson
Ji'Ayir Brown,S,49ers,UFA,73.8,27.0,1348951.0,924220.0,SF,S,jiayir-brown
Tank Bigsby,RB,Eagles,UFA,13.1,25.0,1348230.0,922120.0,PHI,RB,tank-bigsby
Kobie Turner,IDL,Rams,UFA,66.8,28.0,1347868.0,921068.0,LAR,IDL,kobie-turner
DeMarvion Overshown,LB,Cowboys,UFA,19.7,27.0,1347506.0,920016.0,DAL,LB,demarvion-overshown
Dorian Williams,LB,Bills,UFA,44.2,26.0,1345702.0,914768.0,BUF,LB,dorian-williams
Wanya Morris,LT,Chiefs,UFA,5.9,27.0,1342088.0,904256.0,KC,OL,wanya-morris
Cameron Goode,EDGE,Dolphins,UFA,11.1,29.0,1340000.0,50000.0,MIA,EDGE,cameron-goode
Darnell Washington,TE,Steelers,UFA,53.0,26.0,1338478.0,893752.0,PIT,TE,darnell-washington
Michael Wilson,WR,Cardinals,UFA,81.3,27.0,1334866.0,883244.0,ARI,WR,michael-wilson
Ben Sims,TE,Dolphins,UFA,8.4,27.0,1332500.0,187500.0,MIA,TE,ben-sims
Juanyeh Thomas,S,Colts,RFA,24.0,27.0,1332500.0,437500.0,IND,S,juanyeh-thomas
Ryan McCollum,C,Steelers,UFA,5.8,29.0,1332500.0,75000.0,PIT,OL,ryan-mccollum
